Time,ADC_Value,Offset
5.472742154317743,9.6,0.0042
5.543816727750441,0.0,0.0032
5.614891301183139,9.6,0.0022
5.685965874615837,19.2,0.003
5.757040448048535,28.776,0.0043
5.828115021481233,38.376,0.0051
5.899189594913931,47.97599999999999,0.0063
5.970264168346629,57.57599999999999,0.0074
6.0413387417793265,67.152,0.0083
6.112413315212025,76.752,0.0094
6.183487888644723,86.35199999999999,0.0104
6.254562462077421,95.95199999999998,0.0115
6.325637035510119,105.55199999999999,0.0125
6.396711608942817,115.128,0.0137
6.467786182375515,124.728,0.0146
6.538860755808212,134.328,0.0158
6.60993532924091,143.928,0.0167
6.681009902673608,153.504,0.0179
6.752084476106306,163.10399999999998,0.0191
6.823159049539004,172.70399999999998,0.0199
6.8942336229717025,182.30399999999997,0.021
6.965308196404401,191.90399999999997,0.0222
7.036382769837099,182.30399999999997,0.023
7.107457343269797,172.70399999999998,0.022
7.178531916702494,163.10399999999998,0.0209
7.249606490135192,153.504,0.0198
7.32068106356789,143.928,0.0189
7.391755637000588,134.328,0.0178
7.462830210433286,124.728,0.0167
7.533904783865984,115.128,0.0158
7.604979357298682,105.55199999999999,0.0147
7.6760539307313795,95.95199999999998,0.0136
7.747128504164078,86.35199999999999,0.0126
7.818203077596776,76.752,0.0114
7.889277651029474,67.152,0.0105
7.960352224462172,57.57599999999999,0.0094
8.03142679789487,47.97599999999999,0.0085
8.102501371327568,38.376,0.0072
8.173575944760266,28.776,0.0062
8.244650518192964,19.2,0.0051
8.315725091625662,9.6,0.0043
8.38679966505836,0.0,0.0031
8.457874238491058,9.6,0.0023
8.528948811923755,19.2,0.0032
8.600023385356453,28.776,0.0042
8.67109795878915,38.376,0.0052
8.742172532221849,47.97599999999999,0.006
8.813247105654547,57.57599999999999,0.0073
8.884321679087245,67.152,0.0084
8.955396252519943,76.752,0.0094
9.026470825952641,86.35199999999999,0.0105
9.09754539938534,95.95199999999998,0.0115
9.168619972818037,105.55199999999999,0.0125
9.239694546250735,115.128,0.0136
9.310769119683433,124.728,0.0147
9.381843693116132,134.328,0.0158
9.45291826654883,143.928,0.0168
9.523992839981528,153.504,0.0181
9.595067413414226,163.10399999999998,0.0189
9.666141986846924,172.70399999999998,0.02
9.73721656027962,182.30399999999997,0.021
9.808291133712318,191.90399999999997,0.0221
9.879365707145016,182.30399999999997,0.023
9.950440280577714,172.70399999999998,0.0221
10.021514854010412,163.10399999999998,0.0209
10.09258942744311,153.504,0.0199
10.163664000875809,143.928,0.0188
10.234738574308507,134.328,0.0179
10.305813147741205,124.728,0.0167
10.376887721173903,115.128,0.0159
10.4479622946066,105.55199999999999,0.0148
10.519036868039299,95.95199999999998,0.0135
10.590111441471997,86.35199999999999,0.0125
10.661186014904695,76.752,0.0113
10.732260588337393,67.152,0.0105
10.80333516177009,57.57599999999999,0.0093
10.874409735202788,47.97599999999999,0.0086
10.945484308635486,38.376,0.0074
11.016558882068184,28.776,0.0063
11.087633455500882,19.2,0.0053
11.15870802893358,9.6,0.0043
11.229782602366278,0.0,0.0033
11.300857175798976,9.6,0.0022
11.371931749231674,19.2,0.0032
11.443006322664372,28.776,0.0043
11.51408089609707,38.376,0.0053
11.585155469529768,47.97599999999999,0.0063
11.656230042962466,57.57599999999999,0.0075
11.727304616395164,67.152,0.0086
11.798379189827862,76.752,0.0094
11.86945376326056,86.35199999999999,0.0105
