Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
12.054,-0.000162966,398.8938,911.4403314,-0.000162966
12.104,-0.000162966,384.9834,893.5405842,-0.000162966
12.154,1.48E-05,385.977,895.529445,1.48E-05
12.204,-0.000340752,374.0538,879.6185586,-0.000340752
12.254,-0.000162966,375.0474,879.6185586,-0.000162966
12.304,1.48E-05,363.1242,863.7076722,1.48E-05
12.354,1.48E-05,362.1306,863.7076722,1.48E-05
12.404,1.48E-05,350.2074,847.7967858,1.48E-05
12.454,-0.000162966,335.3034,833.8747602,-0.000162966
12.504,-0.000162966,337.2906,833.8747602,-0.000162966
12.554,1.48E-05,324.3738,815.975013,1.48E-05
12.604,-0.000340752,322.3866,817.9638738,-0.000340752
12.654,-0.000340752,322.3866,804.0418482,-0.000340752
12.704,1.48E-05,324.3738,804.0418482,1.48E-05
12.754,-0.000162966,323.3802,786.142101,-0.000162966
12.804,1.48E-05,324.3738,784.1532402,1.48E-05
12.854,1.48E-05,322.3866,774.2089362,1.48E-05
12.904,1.48E-05,321.393,754.3203282,1.48E-05
12.954,-0.000162966,323.3802,756.309189,-0.000162966
13.004,-0.000162966,322.3866,742.3871634,-0.000162966
13.054,0.000370392,324.3738,740.3983026,0.000370392
13.104,-0.000162966,322.3866,726.476277,-0.000162966
13.154,-0.000518538,322.3866,730.4539986,-0.000518538
13.204,-0.000162966,322.3866,710.5653906,-0.000162966
13.254,-0.000340752,324.3738,712.5542514,-0.000340752
13.304,1.48E-05,323.3802,696.643365,1.48E-05
13.354,1.48E-05,323.3802,678.7436178,1.48E-05
13.404,1.48E-05,323.3802,678.7436178,1.48E-05
13.454,-0.000340752,321.393,664.8215922,-0.000340752
13.504,-0.000162966,323.3802,662.8327314,-0.000162966
13.554,-0.000162966,320.3994,648.9107058,-0.000162966
13.604,-0.000162966,323.3802,650.8995666,-0.000162966
13.654,-0.000340752,322.3866,648.9107058,-0.000340752
13.705,-0.000162966,321.393,632.9998194,-0.000162966
13.754,-0.000162966,321.393,621.0666546,-0.000162966
13.804,1.48E-05,321.393,619.0777938,1.48E-05
13.854,-0.000162966,321.393,603.1669074,-0.000162966
13.904,-0.000162966,323.3802,603.1669074,-0.000162966
13.954,-0.000162966,323.3802,589.2448818,-0.000162966
14.004,-0.000162966,325.3674,589.2448818,-0.000162966
14.055,-0.000340752,322.3866,575.3228562,-0.000340752
14.105,-0.000696324,320.3994,571.3451346,-0.000696324
14.155,-0.000340752,319.4058,557.423109,-0.000340752
14.205,1.48E-05,322.3866,543.5010834,1.48E-05
14.254,1.48E-05,321.393,541.5122226,1.48E-05
14.305,1.48E-05,322.3866,527.590197,1.48E-05
14.354,1.48E-05,323.3802,527.590197,1.48E-05
14.405,-0.000162966,320.3994,511.6793106,-0.000162966
14.454,1.48E-05,324.3738,513.6681714,1.48E-05
14.505,-0.000162966,322.3866,499.7461458,-0.000162966
14.555,1.48E-05,325.3674,499.7461458,1.48E-05
14.605,0.000192606,323.3802,483.8352594,0.000192606
14.655,-0.000340752,321.393,471.9020946,-0.000340752
14.705,1.48E-05,323.3802,469.9132338,1.48E-05
14.755,1.48E-05,322.3866,455.9912082,1.48E-05
14.805,0.000192606,324.3738,454.0023474,0.000192606
14.855,-0.000162966,323.3802,444.0580434,-0.000162966
14.905,0.000192606,322.3866,440.0803218,0.000192606
14.955,-0.000340752,320.3994,426.1582962,-0.000340752
15.005,-0.000340752,322.3866,428.147157,-0.000340752
15.055,-0.000162966,321.393,410.2474098,-0.000162966
15.105,1.48E-05,324.3738,396.3253842,1.48E-05
15.155,-0.000340752,322.3866,398.314245,-0.000340752
15.205,-0.000162966,321.393,382.4033586,-0.000162966
15.255,1.48E-05,322.3866,380.4144978,1.48E-05
15.305,1.48E-05,323.3802,368.481333,1.48E-05
15.355,1.48E-05,322.3866,364.5036114,1.48E-05
15.405,-0.000340752,320.3994,352.5704466,-0.000340752
15.455,-0.000162966,323.3802,352.5704466,-0.000162966
15.505,0.000370392,323.3802,334.6706994,0.000370392
15.555,0.000370392,323.3802,320.7486738,0.000370392
15.605,1.48E-05,323.3802,320.7486738,1.48E-05
15.655,0.000192606,323.3802,304.8377874,0.000192606
15.705,0.000192606,323.3802,304.8377874,0.000192606
15.755,-0.000162966,320.3994,290.9157618,-0.000162966
15.805,-0.000162966,323.3802,292.9046226,-0.000162966
15.855,0.000192606,322.3866,275.0048754,0.000192606
15.905,1.48E-05,323.3802,278.982597,1.48E-05
15.955,-0.000162966,320.3994,261.0828498,-0.000162966
16.005,-0.000162966,321.393,245.1719634,-0.000162966
16.055,-0.000162966,321.393,243.1831026,-0.000162966
16.105,1.48E-05,321.393,229.261077,1.48E-05
16.155,0.000548178,323.3802,229.261077,0.000548178
16.205,-0.000162966,321.393,231.2499378,-0.000162966
16.255,0.000370392,321.393,213.3501906,0.000370392
16.305,0.000370392,319.4058,211.3613298,0.000370392
16.355,0.000370392,321.393,197.4393042,0.000370392
16.405,0.000548178,325.3674,201.4170258,0.000548178
16.455,0.000370392,323.3802,187.4950002,0.000370392
16.505,0.000548178,323.3802,171.5841138,0.000548178
16.555,0.000548178,322.3866,169.595253,0.000548178
16.605,0.000548178,322.3866,155.6732274,0.000548178
16.655,0.000725964,324.3738,155.6732274,0.000725964
16.705,0.000548178,324.3738,141.7512018,0.000548178
16.755,0.000548178,324.3738,141.7512018,0.000548178
16.806,0.000370392,323.3802,127.8291762,0.000370392
16.859,0.000548178,321.393,123.8514546,0.000548178
16.905,0.000370392,321.393,111.9182898,0.000370392
16.955,1.48E-05,320.3994,94.0185426,1.48E-05
17.005,0.000192606,322.3866,97.9962642,0.000192606
17.055,0.000192606,320.3994,80.096517,0.000192606
17.105,0.000192606,322.3866,80.096517,0.000192606
17.156,0.000370392,322.3866,66.1744914,0.000370392
17.205,0.000370392,322.3866,66.1744914,0.000370392
17.256,1.48E-05,320.3994,52.2524658,1.48E-05
17.309,1.48E-05,324.3738,38.3304402,1.48E-05
17.355,1.48E-05,322.3866,34.3527186,1.48E-05
17.406,-0.000162966,321.393,22.4195538,-0.000162966
17.455,0.000192606,325.3674,22.4195538,0.000192606
17.506,-0.000340752,321.393,6.5086674,-0.000340752
17.555,-0.000162966,322.3866,6.5086674,-0.000162966
17.605,-0.000162966,323.3802,6.5086674,-0.000162966
17.656,-0.000162966,323.3802,6.5086674,-0.000162966
17.706,-0.000518538,322.3866,6.5086674,-0.000518538
17.756,-0.000162966,319.4058,4.5198066,-0.000162966
17.806,-0.000162966,322.3866,6.5086674,-0.000162966
17.856,-0.000340752,322.3866,8.4975282,-0.000340752
17.906,1.48E-05,324.3738,6.5086674,1.48E-05
17.956,-0.000340752,321.393,6.5086674,-0.000340752
18.006,1.48E-05,322.3866,4.5198066,1.48E-05
18.056,1.48E-05,323.3802,6.5086674,1.48E-05
18.106,1.48E-05,323.3802,6.5086674,1.48E-05
18.156,1.48E-05,322.3866,6.5086674,1.48E-05
18.206,1.48E-05,323.3802,4.5198066,1.48E-05
18.256,0.000192606,323.3802,4.5198066,0.000192606
18.306,-0.000162966,323.3802,6.5086674,-0.000162966
18.356,-0.000162966,323.3802,6.5086674,-0.000162966
18.406,0.000192606,321.393,4.5198066,0.000192606
18.456,0.000192606,323.3802,4.5198066,0.000192606
18.506,-0.000162966,323.3802,6.5086674,-0.000162966
18.556,0.000192606,323.3802,4.5198066,0.000192606
18.606,0.000192606,321.393,4.5198066,0.000192606
18.656,1.48E-05,325.3674,6.5086674,1.48E-05
18.706,0.000192606,325.3674,4.5198066,0.000192606
18.756,0.000192606,323.3802,6.5086674,0.000192606
18.806,1.48E-05,322.3866,4.5198066,1.48E-05
18.856,-0.000162966,322.3866,4.5198066,-0.000162966
18.906,-0.000162966,322.3866,6.5086674,-0.000162966
18.956,-0.000162966,322.3866,6.5086674,-0.000162966
