Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
2.714,-0.000162966,412.8042,231.2499378,-0.000162966
2.724,-0.000162966,426.7146,247.1608242,-0.000162966
2.734,-0.000162966,425.721,249.149685,-0.000162966
2.765,-0.000162966,415.785,245.1719634,-0.000162966
2.774,-0.000162966,415.785,247.1608242,-0.000162966
2.784,-0.000162966,411.8106,247.1608242,-0.000162966
2.794,-0.000162966,413.7978,249.149685,-0.000162966
2.804,-0.000340752,410.817,247.1608242,-0.000340752
2.814,-0.000162966,424.7274,263.0717106,-0.000162966
2.824,-0.000162966,422.7402,263.0717106,-0.000162966
2.855,1.48E-05,411.8106,261.0828498,1.48E-05
2.864,1.48E-05,412.8042,263.0717106,1.48E-05
2.874,-0.000162966,409.8234,265.0605714,-0.000162966
2.884,-0.000162966,407.8362,265.0605714,-0.000162966
2.895,-0.000340752,403.8618,261.0828498,-0.000340752
2.905,-0.000162966,414.7914,276.9937362,-0.000162966
2.914,1.48E-05,411.8106,276.9937362,1.48E-05
2.945,1.48E-05,399.8874,273.0160146,1.48E-05
2.954,1.48E-05,399.8874,276.9937362,1.48E-05
2.964,-0.000162966,396.9066,278.982597,-0.000162966
2.974,-0.000162966,393.9258,280.9714578,-0.000162966
2.985,-0.000162966,388.9578,273.0160146,-0.000162966
2.995,-0.000162966,402.8682,292.9046226,-0.000162966
3.005,1.48E-05,398.8938,292.9046226,1.48E-05
3.035,-0.000162966,382.0026,292.9046226,-0.000162966
3.044,1.48E-05,382.0026,292.9046226,1.48E-05
3.054,-0.000162966,378.0282,294.8934834,-0.000162966
3.063,-0.000162966,374.0538,292.9046226,-0.000162966
3.073,-0.000162966,370.0794,288.926901,-0.000162966
3.083,1.48E-05,382.0026,308.815509,1.48E-05
3.092,0.000192606,374.0538,306.8266482,0.000192606
3.125,-0.000162966,354.1818,308.815509,-0.000162966
3.17,-0.000162966,333.3162,310.8043698,-0.000162966
3.215,1.48E-05,312.4506,306.8266482,1.48E-05
3.224,-0.000162966,314.4378,310.8043698,-0.000162966
3.234,1.48E-05,311.457,308.815509,1.48E-05
3.243,-0.000162966,306.489,310.8043698,-0.000162966
3.253,1.48E-05,303.5082,304.8377874,1.48E-05
3.263,-0.000162966,309.4698,322.7375346,-0.000162966
3.272,-0.000340752,300.5274,324.7263954,-0.000340752
3.305,-0.000162966,296.553,322.7375346,-0.000162966
3.314,1.48E-05,299.5338,322.7375346,1.48E-05
3.324,-0.000162966,298.5402,322.7375346,-0.000162966
3.333,1.48E-05,298.5402,322.7375346,1.48E-05
3.343,1.48E-05,296.553,320.7486738,1.48E-05
3.353,1.48E-05,300.5274,336.6595602,1.48E-05
3.363,1.48E-05,299.5338,338.648421,1.48E-05
3.395,0.000192606,299.5338,338.648421,0.000192606
3.404,1.48E-05,300.5274,338.648421,1.48E-05
3.44,-0.000162966,295.5594,334.6706994,-0.000162966
3.45,-0.000162966,297.5466,336.6595602,-0.000162966
3.459,1.48E-05,299.5338,338.648421,1.48E-05
3.469,-0.000162966,299.5338,340.6372818,-0.000162966
3.478,1.48E-05,297.5466,336.6595602,1.48E-05
3.488,0.000192606,298.5402,352.5704466,0.000192606
3.498,1.48E-05,298.5402,352.5704466,1.48E-05
3.53,-0.000162966,295.5594,350.5815858,-0.000162966
3.539,0.000192606,298.5402,350.5815858,0.000192606
3.549,0.000192606,299.5338,352.5704466,0.000192606
3.558,1.48E-05,300.5274,352.5704466,1.48E-05
3.568,1.48E-05,297.5466,348.592725,1.48E-05
3.578,0.000192606,298.5402,366.4924722,0.000192606
3.588,0.000192606,300.5274,368.481333,0.000192606
3.62,1.48E-05,299.5338,366.4924722,1.48E-05
3.629,0.000192606,297.5466,368.481333,0.000192606
3.639,0.000192606,299.5338,370.4701938,0.000192606
3.648,0.000370392,297.5466,368.481333,0.000370392
3.658,0.000192606,297.5466,364.5036114,0.000192606
3.668,0.000192606,298.5402,382.4033586,0.000192606
3.678,0.000192606,298.5402,384.3922194,0.000192606
3.71,1.48E-05,296.553,382.4033586,1.48E-05
3.719,0.000370392,298.5402,382.4033586,0.000370392
3.729,0.000548178,299.5338,382.4033586,0.000548178
3.738,0.000192606,299.5338,384.3922194,0.000192606
3.748,-0.000162966,298.5402,384.3922194,-0.000162966
3.758,0.000370392,297.5466,398.314245,0.000370392
3.768,0.000370392,297.5466,398.314245,0.000370392
3.8,0.000370392,292.5786,396.3253842,0.000370392
3.809,0.000548178,298.5402,398.314245,0.000548178
3.819,0.000548178,298.5402,398.314245,0.000548178
3.828,0.000192606,298.5402,398.314245,0.000192606
3.838,0.000192606,298.5402,396.3253842,0.000192606
3.848,0.000725964,298.5402,412.2362706,0.000725964
3.858,0.000370392,297.5466,414.2251314,0.000370392
3.89,0.000548178,295.5594,410.2474098,0.000548178
3.899,0.000725964,299.5338,414.2251314,0.000725964
3.909,0.000548178,299.5338,414.2251314,0.000548178
3.918,0.000725964,297.5466,412.2362706,0.000725964
3.928,0.000192606,294.5658,410.2474098,0.000192606
3.938,0.000548178,299.5338,430.1360178,0.000548178
3.948,0.000548178,299.5338,428.147157,0.000548178
3.98,0.00090375,297.5466,426.1582962,0.00090375
3.989,0.000548178,298.5402,430.1360178,0.000548178
3.999,0.000725964,298.5402,428.147157,0.000725964
4.008,0.000725964,298.5402,426.1582962,0.000725964
4.018,0.000548178,295.5594,424.1694354,0.000548178
4.028,0.00090375,299.5338,444.0580434,0.00090375
4.038,0.001259322,298.5402,442.0691826,0.001259322
4.07,0.00090375,295.5594,440.0803218,0.00090375
4.079,0.001081536,299.5338,444.0580434,0.001081536
4.089,0.00090375,298.5402,446.0469042,0.00090375
4.098,0.001081536,299.5338,444.0580434,0.001081536
4.108,0.000725964,296.553,442.0691826,0.000725964
4.118,0.00090375,297.5466,459.9689298,0.00090375
4.128,0.001259322,299.5338,457.980069,0.001259322
4.16,0.001259322,295.5594,457.980069,0.001259322
4.169,0.001437108,300.5274,459.9689298,0.001437108
4.179,0.001081536,298.5402,457.980069,0.001081536
4.188,0.001259322,298.5402,457.980069,0.001259322
4.198,0.001081536,298.5402,455.9912082,0.001081536
4.208,0.001437108,298.5402,473.8909554,0.001437108
4.218,0.001614894,298.5402,473.8909554,0.001614894
