Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
8.553,0.000192606,1288.1658,18.4418322,0.05,20
8.603,1.48E-05,1291.1466,18.4418322,0.05,20
8.653,1.48E-05,1295.121,20.430693,0.05,20
8.703,0.000192606,1295.121,20.430693,0.05,20
8.753,1.48E-05,1295.121,18.4418322,0.05,20
8.803,0.000548178,1294.1274,18.4418322,0.05,20
8.853,1.48E-05,1296.1146,20.430693,0.05,20
8.903,0.000192606,1295.121,20.430693,0.05,20
8.953,1.48E-05,1296.1146,20.430693,0.05,20
9.003,0.000370392,1296.1146,20.430693,0.05,20
9.053,0.000192606,1296.1146,20.430693,0.05,20
9.103,0.000370392,1296.1146,18.4418322,0.05,20
9.153,0.000192606,1296.1146,18.4418322,0.05,20
9.203,0.000192606,1297.1082,20.430693,0.05,20
9.253,1.48E-05,1297.1082,22.4195538,0.05,20
9.303,0.000192606,1296.1146,18.4418322,0.05,20
9.353,0.000192606,1296.1146,18.4418322,0.05,20
9.403,0.000370392,1296.1146,18.4418322,0.05,20
9.453,0.000192606,1298.1018,22.4195538,0.05,20
9.503,0.000192606,1298.1018,20.430693,0.05,20
9.553,0.000192606,1297.1082,20.430693,0.05,20
9.603,1.48E-05,1297.1082,24.4084146,0.05,20
9.653,0.000192606,1296.1146,18.4418322,0.05,20
9.703,0.000548178,1295.121,16.4529714,0.05,20
9.753,0.000192606,1296.1146,18.4418322,0.05,20
9.803,1.48E-05,1297.1082,20.430693,0.05,20
9.853,0.000370392,1295.121,18.4418322,0.05,20
9.903,1.48E-05,1297.1082,18.4418322,0.05,20
9.953,1.48E-05,1297.1082,20.430693,0.05,20
10.003,1.48E-05,1298.1018,20.430693,0.05,20
10.053,1.48E-05,1298.1018,22.4195538,0.05,20
10.103,1.48E-05,1297.1082,20.430693,0.05,20
10.153,1.48E-05,1298.1018,22.4195538,0.05,20
10.203,0.000192606,1296.1146,20.430693,0.05,20
10.253,1.48E-05,1297.1082,18.4418322,0.05,20
10.303,0.000192606,1297.1082,20.430693,0.05,20
10.353,0.000192606,1297.1082,20.430693,0.05,20
10.403,1.48E-05,1297.1082,22.4195538,0.05,20
10.453,0.000192606,1296.1146,20.430693,0.05,20
10.503,1.48E-05,1296.1146,20.430693,0.05,20
10.553,1.48E-05,1297.1082,20.430693,0.05,20
10.603,-0.000162966,1296.1146,20.430693,0.051,19.60784314
10.654,0.000192606,1298.1018,20.430693,0.05,20
10.704,0.000192606,1296.1146,20.430693,0.049,20.40816327
10.753,0.000370392,1296.1146,20.430693,0.05,20
10.803,1.48E-05,1297.1082,18.4418322,0.05,20
10.853,0.000192606,1296.1146,20.430693,0.05,20
10.903,1.48E-05,1296.1146,20.430693,0.051,19.60784314
10.954,1.48E-05,1296.1146,20.430693,0.05,20
11.004,-0.000162966,1296.1146,20.430693,0.05,20
11.054,0.000192606,1296.1146,18.4418322,0.05,20
11.104,0.000192606,1297.1082,20.430693,0.05,20
11.154,1.48E-05,1296.1146,20.430693,0.05,20
11.204,0.000192606,1296.1146,20.430693,0.05,20
11.254,0.000370392,1295.121,16.4529714,0.05,20
11.304,0.000192606,1297.1082,20.430693,0.05,20
11.354,0.000192606,1296.1146,20.430693,0.05,20
11.404,0.000192606,1297.1082,20.430693,0.05,20
11.454,0.000192606,1297.1082,20.430693,0.05,20
11.504,0.000192606,1296.1146,20.430693,0.05,20
11.554,1.48E-05,35.2362,20.430693,0.05,20
11.604,-0.000162966,33.249,20.430693,0.05,20
11.654,-0.000162966,36.2298,22.4195538,0.05,20
11.704,1.48E-05,34.2426,20.430693,0.05,20
11.754,1.48E-05,35.2362,20.430693,0.05,20
11.804,-0.000162966,34.2426,20.430693,0.05,20
11.854,1.48E-05,36.2298,22.4195538,0.05,20
11.904,1.48E-05,52.1274,18.4418322,0.05,20
11.954,1.48E-05,72.993,20.430693,0.05,20
12.004,0.000192606,84.9162,18.4418322,0.05,20
12.054,-0.000162966,94.8522,18.4418322,0.05,20
12.104,1.48E-05,101.8074,20.430693,0.05,20
12.154,1.48E-05,107.769,20.430693,0.05,20
12.204,1.48E-05,114.7242,20.430693,0.05,20
12.254,-0.000162966,120.6858,22.4195538,0.05,20
12.304,1.48E-05,124.6602,18.4418322,0.05,20
