Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
4.563354,-0.000340752,892.713,18.4418322,0.0278356,35.92521804
4.5911896,1.48E-05,922.521,18.4418322,0.0430628,23.2218992
4.6342524,-0.000340752,896.6874,18.4418322,0.0450761,22.1847054
4.6793285,-0.000518538,891.7194,18.4418322,0.0174529,57.29706809
4.6967814,-0.000340752,920.5338,18.4418322,0.0274446,36.4370405
4.724226,-0.000340752,904.6362,16.4529714,0.0450476,22.19874086
4.7692736,-0.000162966,887.745,20.430693,0.0450891,22.17830919
4.8143627,1.48E-05,918.5466,20.430693,0.0185423,53.93074203
4.832905,-0.000162966,907.617,22.4195538,0.026264,38.07493149
4.859169,-0.000518538,883.7706,20.430693,0.0449911,22.22661817
4.9041601,1.48E-05,916.5594,20.430693,0.0451719,22.13765637
4.949332,-0.000340752,912.585,18.4418322,0.0201976,49.51083295
4.9695296,-0.000162966,884.7642,18.4418322,0.028146,35.52902722
4.9976756,1.48E-05,915.5658,16.4529714,0.0418493,23.8952623
5.0395249,-0.000518538,918.5466,20.430693,0.0448047,22.31908706
5.0843296,-0.000162966,883.7706,20.430693,0.0450206,22.21205403
5.1293502,-0.000162966,911.5914,18.4418322,0.0173716,57.5652215
5.1467218,-0.000162966,919.5402,22.4195538,0.027828,35.93502944
5.1745498,-0.000162966,882.777,20.430693,0.0448097,22.31659663
5.2193595,-0.000162966,907.617,20.430693,0.0181841,54.99309841
5.2375436,-0.000162966,923.5146,22.4195538,0.0268033,37.30883881
5.2643469,-0.000518538,884.7642,18.4418322,0.0447428,22.34996468
5.3090897,-0.000340752,902.649,22.4195538,0.0453188,22.06589758
5.3544085,-0.000518538,924.5082,18.4418322,0.0196508,50.8885135
5.3740593,-0.000162966,886.7514,20.430693,0.0256641,38.96493543
5.3997234,-0.000340752,900.6618,20.430693,0.0446693,22.3867399
5.4443927,-0.000340752,921.5274,18.4418322,0.0450642,22.19056368
5.4894569,1.48E-05,891.7194,22.4195538,0.0185835,53.81117658
5.5080404,1.48E-05,893.7066,20.430693,0.0275193,36.3381336
5.5355597,-0.000162966,924.5082,20.430693,0.0436217,22.9243702
5.5791814,-0.000162966,894.7002,20.430693,0.0450429,22.20105723
5.6242243,-0.000162966,889.7322,18.4418322,0.0189207,52.85216718
5.643145,-0.000340752,919.5402,24.4084146,0.0348639,28.68296434
5.6780089,-0.000162966,902.649,22.4195538,0.0362409,27.59313369
5.7142498,-0.000162966,886.7514,20.430693,0.0454597,21.99750549
5.7597095,-0.000162966,917.553,20.430693,0.0194465,51.42313528
5.779156,-0.000162966,908.6106,22.4195538,0.0285877,34.98007886
5.8077437,-0.000162966,882.777,20.430693,0.0414902,24.10207713
5.8492339,-0.000162966,914.5722,16.4529714,0.0449657,22.23917341
5.8941996,-0.000340752,913.5786,22.4195538,0.0191002,52.35547262
5.9132998,1.48E-05,880.7898,18.4418322,0.0295258,33.86868437
5.9428256,-0.000162966,913.5786,16.4529714,0.0416239,24.02465891
5.9844495,-0.000162966,917.553,20.430693,0.0448672,22.28799657
6.0293167,-0.000518538,881.7834,18.4418322,0.0191194,52.30289651
6.0484361,-0.000162966,914.5722,20.430693,0.0279684,35.7546374
6.0764045,-0.000162966,920.5338,16.4529714,0.0429457,23.28521831
6.1193502,-0.000518538,884.7642,16.4529714,0.0187704,53.27536982
6.1381206,-0.000162966,905.6298,18.4418322,0.0266473,37.5272541
6.1647679,-0.000162966,922.521,18.4418322,0.0447233,22.35970961
6.2094912,-0.000162966,888.7386,20.430693,0.0449498,22.24704003
6.254441,-0.000340752,901.6554,18.4418322,0.0190237,52.56600983
6.2734647,-0.000340752,924.5082,20.430693,0.0281815,35.48427155
6.3016462,-0.000518538,888.7386,18.4418322,0.0426682,23.43665776
6.3443144,-0.000340752,899.6682,18.4418322,0.0452019,22.12296385
6.3895163,-0.000340752,922.521,16.4529714,0.0451763,22.13550026
6.4346926,-0.000340752,889.7322,22.4195538,0.0018437,542.387587
6.4365363,1.48E-05,894.7002,20.430693,0.0428519,23.33618814
6.4793882,1.48E-05,920.5338,20.430693,0.0452058,22.12105524
6.524594,-0.000518538,893.7066,20.430693,0.0203034,49.2528345
6.5448974,1.48E-05,892.713,20.430693,0.0285348,35.04492761
6.5734322,-0.000340752,923.5146,16.4529714,0.0408531,24.47794662
6.6142853,1.48E-05,897.681,18.4418322,0.0454734,21.99087817
6.6597587,-0.000162966,889.7322,20.430693,0.002404,415.9733829
6.6621627,-0.000162966,920.5338,18.4418322,0.0423891,23.59097031
6.7045518,-0.000340752,906.6234,16.4529714,0.0454986,21.97869825
6.7500504,-0.000162966,886.7514,22.4195538,0.0449805,22.23185602
6.7950309,-0.000162966,920.5338,18.4418322,0.0105085,95.16106026
6.8055394,0.000192606,910.5978,18.4418322,0.0338786,29.51715828
6.839418,-0.000162966,885.7578,18.4418322,0.0449127,22.26541715
6.8843307,-0.000162966,917.553,20.430693,0.0450898,22.17796485
6.9294205,-0.000162966,912.585,18.4418322,0.0244282,40.93629498
6.9538487,-0.000162966,882.777,18.4418322,0.0312395,32.01075558
6.9850882,-0.000162966,915.5658,18.4418322,0.0341062,29.32018227
7.0191944,-0.000162966,915.5658,18.4418322,0.0456139,21.92314185
7.0648083,-0.000340752,882.777,20.430693,0.0227476,43.96068159
7.0875559,-0.000162966,905.6298,20.430693,0.0289911,34.49334447
7.116547,-0.000518538,920.5338,20.430693,0.0376809,26.53864428
7.1542279,-0.000340752,883.7706,16.4529714,0.0452003,22.12374697
7.1994282,-0.000340752,905.6298,16.4529714,0.0215232,46.46149264
7.2209514,-0.000162966,921.5274,22.4195538,0.0296242,33.7561858
7.2505756,1.48E-05,885.7578,20.430693,0.0388209,25.75932039
7.2893965,-0.000518538,902.649,20.430693,0.0450798,22.18288457
7.3344763,1.48E-05,921.5274,22.4195538,0.024374,41.02732425
7.3588503,-0.000162966,885.7578,18.4418322,0.0314384,31.80823448
7.3902887,-0.000340752,901.6554,22.4195538,0.0339036,29.49539281
7.4241923,-0.000162966,924.5082,16.4529714,0.0219916,45.47190747
7.4461839,0.000192606,886.7514,20.430693,0.0292758,34.15790518
7.4754597,-0.000340752,895.6938,16.4529714,0.039096,25.57806424
7.5145557,-0.000518538,920.5338,18.4418322,0.044804,22.31943576
7.5593597,1.48E-05,890.7258,18.4418322,0.0212654,47.02474444
7.5806251,-0.000162966,893.7066,18.4418322,0.0295209,33.87430601
7.610146,-0.000162966,920.5338,20.430693,0.0391272,25.55766834
7.6492732,-0.000340752,895.6938,16.4529714,0.0474101,21.09255201
7.6966833,1.48E-05,888.7386,16.4529714,0.0055472,180.2711265
7.7022305,-0.000162966,919.5402,20.430693,0.0382583,26.13811906
7.7404888,-0.000162966,902.649,20.430693,0.0440757,22.68823865
7.7845645,-0.000340752,889.7322,22.4195538,0.0447578,22.34247438
