Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
9624000,1.48E-05,433.6698,12.4752498,33000
9657000,0.000192606,432.6762,14.4641106,34000
9691000,-0.000162966,430.689,16.4529714,33000
9724000,1.48E-05,432.6762,18.4418322,34000
9758000,1.48E-05,432.6762,14.4641106,33000
9791000,-0.000162966,431.6826,16.4529714,34000
9825000,-0.000162966,434.6634,16.4529714,33000
9858000,-0.000340752,434.6634,16.4529714,34000
9892000,-0.000162966,431.6826,12.4752498,33000
9925000,-0.000162966,435.657,12.4752498,34000
9959000,-0.000518538,436.6506,14.4641106,34000
9993000,-0.000340752,433.6698,16.4529714,33000
10026000,-0.000340752,434.6634,12.4752498,34000
10060000,-0.000518538,435.657,14.4641106,33000
10093000,-0.000162966,432.6762,12.4752498,34000
10127000,-0.000162966,434.6634,16.4529714,33000
10160000,-0.000162966,435.657,18.4418322,34000
10194000,-0.000162966,435.657,14.4641106,33000
10227000,-0.000162966,435.657,18.4418322,34000
10261000,1.48E-05,437.6442,14.4641106,33000
10294000,1.48E-05,436.6506,16.4529714,34000
10328000,-0.000518538,435.657,12.4752498,33000
10361000,-0.000162966,438.6378,16.4529714,34000
10395000,-0.000340752,436.6506,14.4641106,34000
10429000,-0.000162966,435.657,14.4641106,33000
10462000,1.48E-05,439.6314,16.4529714,34000
10496000,-0.000340752,438.6378,10.486389,33000
10529000,-0.000340752,436.6506,14.4641106,34000
10563000,-0.000162966,438.6378,18.4418322,33000
10596000,-0.000162966,437.6442,14.4641106,34000
10630000,1.48E-05,435.657,14.4641106,33000
10663000,-0.000340752,439.6314,18.4418322,34000
10697000,0.000192606,437.6442,16.4529714,33000
10730000,-0.000162966,437.6442,18.4418322,34000
10764000,1.48E-05,439.6314,12.4752498,33000
10797000,-0.000162966,438.6378,16.4529714,34000
10831000,-0.000162966,437.6442,12.4752498,34000
10865000,-0.000340752,439.6314,12.4752498,33000
10898000,-0.000162966,441.6186,14.4641106,34000
10932000,-0.000162966,438.6378,14.4641106,33000
10965000,0.000370392,440.625,14.4641106,34000
10999000,1.48E-05,441.6186,16.4529714,33000
11032000,0.000192606,439.6314,16.4529714,34000
11066000,-0.000162966,440.625,12.4752498,33000
11099000,-0.000340752,442.6122,18.4418322,34000
11133000,-0.000518538,439.6314,16.4529714,33000
11166000,-0.000162966,438.6378,18.4418322,34000
11200000,1.48E-05,442.6122,14.4641106,33000
11233000,1.48E-05,441.6186,16.4529714,34000
11267000,0.000192606,440.625,12.4752498,34000
11301000,1.48E-05,442.6122,16.4529714,33000
11334000,-0.000162966,440.625,14.4641106,33000
11367000,1.48E-05,439.6314,12.4752498,34000
11401000,1.48E-05,443.6058,14.4641106,34000
11435000,1.48E-05,441.6186,16.4529714,33000
11468000,-0.000162966,442.6122,18.4418322,34000
11502000,-0.000340752,445.593,12.4752498,33000
11535000,-0.000340752,442.6122,18.4418322,34000
11569000,1.48E-05,440.625,14.4641106,33000
11602000,-0.000162966,445.593,18.4418322,34000
11636000,-0.000518538,444.5994,18.4418322,33000
11669000,-0.000162966,440.625,16.4529714,34000
11703000,-0.000340752,446.5866,16.4529714,33000
11736000,-0.000340752,445.593,14.4641106,34000
11770000,-0.000518538,442.6122,14.4641106,33000
11803000,-0.000162966,445.593,16.4529714,34000
11837000,-0.000162966,444.5994,16.4529714,34000
11871000,-0.000162966,443.6058,12.4752498,33000
11904000,-0.000162966,444.5994,18.4418322,33000
11937000,1.48E-05,446.5866,14.4641106,34000
11971000,-0.000340752,444.5994,14.4641106,34000
12005000,0.000192606,445.593,14.4641106,33000
12038000,-0.000162966,447.5802,16.4529714,34000
12072000,-0.000162966,445.593,18.4418322,33000
12105000,-0.000162966,445.593,18.4418322,34000
12139000,1.48E-05,446.5866,12.4752498,33000
12172000,-0.000340752,445.593,14.4641106,34000
12206000,-0.000162966,446.5866,12.4752498,33000
12239000,0.000192606,447.5802,14.4641106,34000
12273000,-0.000340752,446.5866,10.486389,33000
12306000,-0.000162966,446.5866,18.4418322,34000
12340000,-0.000340752,449.5674,18.4418322,33000
12373000,1.48E-05,446.5866,12.4752498,34000
12407000,-0.000162966,446.5866,16.4529714,33000
12440000,1.48E-05,448.5738,18.4418322,34000
12474000,-0.000162966,447.5802,14.4641106,34000
12508000,-0.000340752,446.5866,18.4418322,33000
12541000,-0.000340752,449.5674,14.4641106,34000
12575000,0.000370392,448.5738,16.4529714,33000
12608000,-0.000340752,447.5802,12.4752498,34000
12642000,1.48E-05,448.5738,16.4529714,33000
12675000,0.000192606,449.5674,14.4641106,34000
12709000,-0.000162966,447.5802,14.4641106,33000
12742000,-0.000162966,449.5674,16.4529714,34000
12776000,-0.000162966,449.5674,16.4529714,33000
12809000,-0.000162966,447.5802,14.4641106,34000
12843000,-0.000696324,449.5674,14.4641106,34000
12877000,-0.000162966,450.561,16.4529714,33000
12910000,-0.000162966,446.5866,12.4752498,34000
12944000,1.48E-05,450.561,14.4641106,33000
12977000,-0.000162966,451.5546,14.4641106,34000
13011000,1.48E-05,448.5738,14.4641106,33000
13044000,-0.000340752,450.561,14.4641106,34000
13078000,-0.000340752,452.5482,18.4418322,33000
13111000,-0.000162966,448.5738,16.4529714,34000
13145000,-0.000162966,450.561,12.4752498,33000
13178000,0.000192606,452.5482,16.4529714,34000
13212000,1.48E-05,449.5674,12.4752498,33000
13245000,-0.000162966,450.561,18.4418322,34000
13279000,0.000192606,452.5482,16.4529714,34000
13313000,-0.000162966,450.561,12.4752498,33000
13346000,0.000192606,449.5674,12.4752498,34000
13380000,1.48E-05,451.5546,18.4418322,33000
13413000,-0.000162966,451.5546,14.4641106,34000
13447000,1.48E-05,448.5738,12.4752498,33000
13480000,-0.000340752,452.5482,14.4641106,34000
13514000,1.48E-05,452.5482,14.4641106,33000
13547000,-0.000340752,449.5674,14.4641106,34000
13581000,-0.000340752,452.5482,12.4752498,33000
13614000,-0.000162966,450.561,16.4529714,34000
13648000,-0.000340752,451.5546,16.4529714,33000
13681000,-0.000340752,453.5418,16.4529714,34000
13715000,-0.000340752,452.5482,12.4752498,33000
13748000,-0.000340752,451.5546,16.4529714,34000
13782000,1.48E-05,453.5418,14.4641106,34000
13816000,-0.000162966,453.5418,14.4641106,33000
13849000,0.000370392,451.5546,12.4752498,34000
13883000,1.48E-05,452.5482,14.4641106,33000
13916000,-0.000162966,453.5418,16.4529714,34000
13950000,1.48E-05,450.561,14.4641106,33000
13983000,-0.000518538,452.5482,14.4641106,34000
14017000,-0.000162966,454.5354,12.4752498,36000
14053000,-0.000518538,471.4266,-128.733867,38000
14091000,-0.000340752,474.4074,-130.7227278,33000
14124000,-0.000340752,478.3818,-130.7227278,34000
14158000,-0.000518538,481.3626,-130.7227278,33000
14191000,-0.000340752,479.3754,-130.7227278,34000
14225000,-0.000162966,479.3754,-128.733867,33000
14258000,-0.000340752,482.3562,-130.7227278,34000
14292000,-0.000162966,481.3626,-128.733867,33000
14325000,-0.000340752,481.3626,-130.7227278,34000
14359000,-0.000518538,482.3562,-128.733867,34000
14393000,-0.000340752,482.3562,-130.7227278,33000
14426000,-0.000518538,481.3626,-128.733867,33000
14459000,-0.000518538,484.3434,-126.7450062,34000
14493000,-0.000518538,482.3562,-130.7227278,34000
14527000,-0.000340752,480.369,-128.733867,33000
14560000,-0.000340752,484.3434,-126.7450062,34000
14594000,-0.000340752,482.3562,-128.733867,36000
14630000,-0.000696324,483.3498,-114.8118414,37000
14667000,-0.000340752,481.3626,-112.8229806,34000
14701000,-0.000340752,483.3498,-114.8118414,33000
14734000,-0.000696324,483.3498,-112.8229806,34000
14768000,-0.000162966,480.369,-116.8007022,33000
14801000,-0.000162966,482.3562,-116.8007022,34000
14835000,1.48E-05,482.3562,-114.8118414,33000
14868000,-0.000518538,481.3626,-114.8118414,34000
14902000,-0.000162966,483.3498,-116.8007022,34000
14936000,-0.000518538,482.3562,-112.8229806,33000
14969000,1.48E-05,480.369,-116.8007022,34000
15003000,-0.000518538,482.3562,-112.8229806,33000
15036000,-0.000518538,483.3498,-114.8118414,34000
15070000,-0.000162966,481.3626,-114.8118414,33000
15103000,1.48E-05,481.3626,-114.8118414,34000
15137000,-0.000340752,484.3434,-116.8007022,33000
15170000,-0.000340752,481.3626,-114.8118414,37000
15207000,-0.000340752,481.3626,-98.900955,37000
15244000,-0.000696324,481.3626,-100.8898158,33000
15277000,-0.000162966,483.3498,-100.8898158,34000
15311000,-0.000340752,482.3562,-100.8898158,34000
