Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
19106,-0.000696324,938.4186,22.4195538,50
19156,-0.000518538,945.3738,20.430693,50
19206,-0.00087411,939.4122,20.430693,50
19256,-0.000696324,944.3802,20.430693,50
19306,-0.00087411,942.393,22.4195538,50
19356,-0.000696324,943.3866,24.4084146,50
19406,-0.000696324,939.4122,26.3972754,50
19456,-0.00087411,944.3802,22.4195538,50
19506,-0.000696324,939.4122,22.4195538,50
19556,-0.001051896,945.3738,20.430693,50
19606,-0.000696324,939.4122,22.4195538,50
19656,-0.000696324,945.3738,22.4195538,50
19706,-0.000518538,941.3994,22.4195538,50
19756,-0.000696324,947.361,20.430693,50
19806,-0.000696324,940.4058,22.4195538,50
19856,-0.000696324,947.361,20.430693,50
19906,-0.00087411,940.4058,24.4084146,50
19956,-0.000696324,947.361,24.4084146,50
20006,-0.00087411,942.393,24.4084146,50
20056,-0.000696324,945.3738,22.4195538,50
20106,-0.000518538,943.3866,24.4084146,50
20156,-0.000518538,945.3738,22.4195538,50
20206,-0.000696324,943.3866,22.4195538,50
20256,-0.00087411,945.3738,22.4195538,50
20306,-0.001051896,941.3994,24.4084146,50
20356,-0.00087411,947.361,22.4195538,50
20406,-0.00087411,943.3866,22.4195538,50
20456,-0.000696324,947.361,22.4195538,50
20506,-0.000696324,941.3994,22.4195538,50
20556,-0.000518538,945.3738,22.4195538,50
20606,-0.000696324,942.393,22.4195538,50
20656,-0.000696324,945.3738,22.4195538,50
20706,-0.00087411,944.3802,20.430693,50
20756,-0.000696324,946.3674,24.4084146,50
20806,-0.000340752,941.3994,22.4195538,50
20856,-0.000696324,946.3674,20.430693,50
20906,-0.000518538,944.3802,24.4084146,50
20956,-0.00087411,949.3482,20.430693,50
21006,-0.000696324,944.3802,26.3972754,51
21057,-0.000696324,946.3674,18.4418322,50
21107,-0.00087411,942.393,24.4084146,50
21157,-0.000696324,945.3738,22.4195538,50
21207,-0.000518538,944.3802,22.4195538,50
21257,-0.000696324,948.3546,22.4195538,50
21307,-0.000696324,942.393,20.430693,50
21357,-0.001051896,947.361,20.430693,50
21407,-0.000696324,942.393,22.4195538,50
21457,-0.000696324,949.3482,22.4195538,50
21507,-0.000696324,946.3674,22.4195538,50
21557,-0.000696324,944.3802,22.4195538,50
21607,-0.00087411,945.3738,22.4195538,50
21657,-0.00087411,946.3674,22.4195538,50
21707,-0.001051896,946.3674,22.4195538,50
21757,-0.000696324,947.361,22.4195538,50
21807,-0.001051896,945.3738,24.4084146,50
21857,-0.000518538,948.3546,22.4195538,50
21907,-0.00087411,944.3802,22.4195538,50
21957,-0.00087411,947.361,22.4195538,50
22007,-0.000696324,944.3802,20.430693,50
22057,-0.001051896,945.3738,24.4084146,50
22107,-0.000696324,946.3674,24.4084146,50
22157,-0.000696324,948.3546,22.4195538,50
22207,-0.00087411,946.3674,20.430693,50
22257,-0.00087411,949.3482,20.430693,50
22307,-0.000696324,945.3738,22.4195538,50
22357,-0.00087411,954.3162,24.4084146,50
22407,-0.00087411,945.3738,20.430693,50
22457,-0.000340752,949.3482,22.4195538,50
22507,-0.001051896,946.3674,20.430693,50
22557,-0.001229682,946.3674,20.430693,50
22607,-0.000518538,947.361,24.4084146,50
22657,-0.001051896,947.361,22.4195538,50
22707,-0.000518538,947.361,22.4195538,50
22757,-0.000696324,948.3546,22.4195538,50
22807,-0.000518538,949.3482,18.4418322,50
22857,-0.000696324,950.3418,22.4195538,50
22907,-0.000696324,948.3546,22.4195538,50
22957,-0.00087411,950.3418,20.430693,50
23007,-0.001051896,949.3482,22.4195538,50
23057,-0.00087411,946.3674,20.430693,50
23107,-0.00087411,947.361,22.4195538,50
23157,-0.000518538,948.3546,22.4195538,50
