Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
20.406,-0.000162966,320.3994,4.5198066,-0.000162966
20.456,0.000192606,321.393,4.5198066,0.000192606
20.506,-0.000162966,320.3994,4.5198066,-0.000162966
20.556,1.48E-05,322.3866,4.5198066,1.48E-05
20.606,-0.000340752,321.393,6.5086674,-0.000340752
20.656,0.000192606,324.3738,4.5198066,0.000192606
20.706,-0.000162966,323.3802,6.5086674,-0.000162966
20.756,-0.000162966,319.4058,6.5086674,-0.000162966
20.806,-0.000340752,320.3994,6.5086674,-0.000340752
20.856,1.48E-05,322.3866,4.5198066,1.48E-05
20.906,1.48E-05,321.393,4.5198066,1.48E-05
20.956,-0.000162966,321.393,6.5086674,-0.000162966
21.006,-0.000162966,321.393,6.5086674,-0.000162966
21.056,-0.000162966,323.3802,6.5086674,-0.000162966
21.106,0.000192606,322.3866,4.5198066,0.000192606
21.156,1.48E-05,323.3802,6.5086674,1.48E-05
21.207,1.48E-05,323.3802,4.5198066,1.48E-05
21.256,-0.000340752,321.393,6.5086674,-0.000340752
21.306,1.48E-05,325.3674,6.5086674,1.48E-05
21.356,-0.000162966,322.3866,6.5086674,-0.000162966
21.406,-0.000162966,320.3994,4.5198066,-0.000162966
21.456,-0.000162966,322.3866,6.5086674,-0.000162966
21.507,1.48E-05,322.3866,4.5198066,1.48E-05
21.557,-0.000162966,320.3994,6.5086674,-0.000162966
21.607,-0.000162966,321.393,8.4975282,-0.000162966
21.657,1.48E-05,321.393,6.5086674,1.48E-05
21.707,1.48E-05,321.393,4.5198066,1.48E-05
21.757,-0.000340752,321.393,6.5086674,-0.000340752
21.807,0.000192606,323.3802,4.5198066,0.000192606
21.857,-0.000162966,323.3802,4.5198066,-0.000162966
21.907,0.000192606,324.3738,4.5198066,0.000192606
21.957,-0.000162966,321.393,6.5086674,-0.000162966
22.007,1.48E-05,321.393,4.5198066,1.48E-05
22.057,-0.000162966,321.393,6.5086674,-0.000162966
22.107,0.000192606,322.3866,4.5198066,0.000192606
22.157,1.48E-05,323.3802,4.5198066,1.48E-05
22.207,1.48E-05,321.393,4.5198066,1.48E-05
22.257,1.48E-05,320.3994,4.5198066,1.48E-05
22.307,0.000192606,323.3802,4.5198066,0.000192606
22.357,0.000192606,323.3802,2.5309458,0.000192606
22.407,-0.000162966,320.3994,6.5086674,-0.000162966
22.457,-0.000340752,321.393,6.5086674,-0.000340752
22.507,1.48E-05,321.393,4.5198066,1.48E-05
22.557,0.000192606,322.3866,4.5198066,0.000192606
22.607,1.48E-05,324.3738,4.5198066,1.48E-05
22.657,1.48E-05,321.393,4.5198066,1.48E-05
22.707,0.000192606,324.3738,4.5198066,0.000192606
22.757,1.48E-05,324.3738,4.5198066,1.48E-05
22.807,1.48E-05,323.3802,4.5198066,1.48E-05
22.857,1.48E-05,322.3866,6.5086674,1.48E-05
22.907,-0.000162966,322.3866,6.5086674,-0.000162966
22.957,1.48E-05,323.3802,4.5198066,1.48E-05
23.007,-0.000162966,322.3866,6.5086674,-0.000162966
