Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
7.202,1.48E-05,500.241,1099.228579,1.48E-05
7.253,1.48E-05,516.1386,1116.474796,1.48E-05
7.302,1.48E-05,515.145,1114.55855,1.48E-05
7.352,-0.000162966,529.0554,1131.804767,-0.000162966
7.402,0.000192606,528.0618,1129.888521,0.000192606
7.452,0.000192606,540.9786,1145.218492,0.000192606
7.502,-0.000340752,541.9722,1145.218492,-0.000340752
7.552,-0.000162966,554.889,1162.46471,-0.000162966
7.604,1.48E-05,553.8954,1158.632217,1.48E-05
7.652,1.48E-05,567.8058,1173.962188,1.48E-05
7.704,1.48E-05,579.729,1191.208406,1.48E-05
7.752,-0.000162966,579.729,1193.124652,-0.000162966
7.802,-0.000340752,591.6522,1206.538377,-0.000340752
7.852,-0.000162966,589.665,1206.538377,-0.000162966
7.902,1.48E-05,600.5946,1219.952102,1.48E-05
7.952,1.48E-05,598.6074,1219.952102,1.48E-05
8.002,1.48E-05,611.5242,1239.114566,1.48E-05
8.054,-0.000340752,609.537,1239.114566,-0.000340752
8.103,-0.000162966,620.4666,1246.779551,-0.000162966
8.154,-0.000162966,633.3834,1267.858262,-0.000162966
8.202,-0.000340752,631.3962,1269.774508,-0.000340752
8.252,-0.000162966,641.3322,1281.271987,-0.000162966
8.302,1.48E-05,637.3578,1279.35574,1.48E-05
8.353,0.000192606,648.2874,1294.685711,0.000192606
8.402,-0.000340752,647.2938,1298.518204,-0.000340752
8.453,-0.000340752,657.2298,1311.931929,-0.000340752
8.504,-0.000162966,654.249,1311.931929,-0.000162966
8.553,-0.000162966,664.185,1325.345654,-0.000162966
8.602,-0.000162966,662.1978,1327.2619,-0.000162966
8.653,1.48E-05,674.121,1342.591871,1.48E-05
8.702,-0.000162966,671.1402,1342.591871,-0.000162966
8.753,-0.000162966,684.057,1357.921843,-0.000162966
8.803,-0.000162966,681.0762,1357.921843,-0.000162966
8.853,-0.000162966,692.0058,1373.251814,-0.000162966
8.903,-0.000162966,690.0186,1377.084307,-0.000162966
